Lista de preços - NOVEMBRO/2025,,,,,
Categoria: Informática,,,,,
Título do Livro,ISBN,,Autor,Preço (R$),Status
A Cor dos Dados,9788575228524,,Kate Strachnyi,"79,00",Disponível
A Linguagem de Programação GO,9788575225462,,Brian W. Kernighan,"98,00",Disponível
Active Directory com Samba 4,9786586057935,,Nivio Paula de Souza,"159,00",Disponível
Active Directory com Samba 4 - Tópicos Avançados,9788575228586,,Nivio Paula de Souza,"169,00",Disponível
Administração de Redes Linux,9788575224618,,Ricardo Lino Olonca,"63,00",Disponível
Agile para Todos,9788575227909,,Matt Lemay,"64,00",Disponível
Alarmes – O Livro do Instalador,9788575221358,,Hélio Reis Magaldi,"72,00",Disponível
Análise de Tráfego em Redes TCP/IP ,9788575223758,,João Eriberto Mota Filho,"98,00",Disponível
Aprenda a ficar Anônimo na Internet,9788575228463,,Kushantha Gunawardana,"98,00",Disponível
Aprenda Computação Forense,9786586057553,,William Oettinger,"103,00",Disponível
Aprenda Eletrônica com Arduino,9788575226667,,"Josy Culkin, Eric Hagan","103,00",Disponível apenas em e-book
Aprenda Node.js com Projetos Reais,9788575229705,,Jonathan Wexler,"115,00",Disponível
Aprendendo a Proteger Suas Senhas,9788575225394,,Joe Kissell,"64,00",Disponível
Aprendendo a Quebrar Senhas,9788575229354,,James Leyte-Vidal,"65,00",Disponível
Aprendendo Git,9788575228821,,Anna Skoulikari,"99,00",Disponível
Aprendendo Kali Linux,9788575229453,,Ric Messier,"152,00",Disponível
Aprendendo Laravel,9788575226285,,"Michael Douglas, Matheus Marabesi","76,00",Disponível
Aprendendo Material Design,9788575225127,,Kyle Mew,"69,00",Disponível
Aprendendo Node,9788575225400,,Shelley Powers,"92,00",Disponível
Aprendendo Padrões de Projeto em Python,9788575225233,,Chetan Giridhar,"64,00",Disponível apenas em e-book
Aprendendo SQL,9788575222102,,Alan Beaulieu,"105,00",Disponível apenas em e-book
Aprendendo TypeScript,9786586057997,,Josh Goldberg,"97,00",Disponível
Arduino em Ação,9788575223734,,"Martin Evans, Joshua Noble, Jordan Hochenbaum ","119,00",Disponível
Arduino Fashion Geek,9786586057294,,Gedeane Kenshima,"83,00",Disponível
Articulando Decisões de Design,9786586057461,,Tom Greever,"89,00",Disponível
As Regras da Programação,9788575228548,,Chris Zimmerman,"97,00",Disponível
Asterisk Guia Definitivo,9788575228210,,"Jim Van Meggelen, Russell Bryant, Leif Madsen","119,00",Disponível
Automatize Tarefas Maçantes com Python – 3ª Edição,9788575229644,,Al Sweigart,"189,00",Disponível
Avaliação de Segurança de Redes,9788575225653,,Chris McNab,"124,00",Disponível
Bash Guia de Consulta Rápida,8575220063,,Joel Saade,"39,00",Disponível
Black Hat Python – 2ª Edição,9788575228890,,Justin Seitz e Tim Arnold,"83,00",Disponível
Bootstrap,9788575228562,,Mauricio Samy Silva,"64,00",Disponível
Cientista da Computação Autodidata,9788575228371,,Cory Althoff,"67,00",Disponível
Cloud FinOps – 2ª Edição,9788575228975,,J.R. Storment/Mike Fuller,"149,00",Disponível
Como a Inteligência Artificial Funciona,9788575228845,,Ronald T. Kneusel,"79,00",Disponível
Como Montar um Robô,9788575226797,,Gordon McComb,"45,00",Disponível
Como o Linux Funciona,9788575224199,,Brian Ward,"109,00",Disponível apenas em e-book
Como Ser um Programador Melhor,9788575224151,,Pete Goodliffe,"99,00",Disponível
Como Usar uma Protoboard!,9788575226650,,"Sean Ragan, Josy Culkin","42,00",Disponível
Conectando o Arduino à Web,9788575227121,,Indira Knight,"89,00",Disponível
Construa uma Carreira em Ciência de Dados,9786586057423,,"Emily Robinson, Jacqueline Nolis","114,00",Disponível
Construindo Aplicações com o NodeJS – 4ª Edição,9788575228784,,William Bruno Moraes,"89,00",Disponível
Construindo Aplicações Web com PHP e MySQL – 2ª edição,9788575225295,,André Milani,"85,00",Disponível apenas em e-book
Construindo Chatbots com Python,9788575228098,,Sumit Raj,"72,00",Disponível
Construindo Sistemas Embarcados,9788575229194,,Elecia White,"149,00",Disponível
Construindo Sites com CSS e (X)HTML ,9788575221396,,Mauricio Samy Silva,"109,00",Disponível
